name,rating,price,no_of_ratings,no_of_reviews
Fashion Women's Short Sleeve Dress Evening Dresses,3.7 out of 5,"KSh 1,220",(65 verified ratings),Product Reviews (32)
Fashion Ladies Fashion Office Dresses Turkey Floral - Blue,3.8 out of 5,"KSh 1,000 - KSh 1,200",(37 verified ratings),Product Reviews (14)
Fashion 3 In 1 Women Bag Crossbody Bag Handbag Female Messenger Shoulder Bag Wallet,3.8 out of 5,"KSh 1,299",(319 verified ratings),Product Reviews (103)
Fashion Women Shoes Ladies Shoes Sneakers Women Shoes,3.6 out of 5,KSh 489,(68 verified ratings),Product Reviews (18)
Fashion Women Earring Set - 9 Pair,3.8 out of 5,KSh 450,(68 verified ratings),Product Reviews (24)
Fashion Sneakers Women Shoes Women's Shoes Ladies,3.5 out of 5,KSh 589 - KSh 719,(105 verified ratings),Product Reviews (37)
Fashion Ladies Official Long Turkey Dresses - Black,3.4 out of 5,"KSh 1,000 - KSh 1,218",(111 verified ratings),Product Reviews (45)
Fashion Diamond Jewelry Engagement Wedding Ring Silver For Women,4.2 out of 5,KSh 293,(65 verified ratings),Product Reviews (27)
Fashion Ladies Fashion Zircon Diamond Engagement Wedding Ring Jewelry- Gold,3.9 out of 5,KSh 238,(27 verified ratings),Product Reviews (10)
Fashion Women Bag Crossbody Bag Handbag Female Messenger Shoulder Bag,4.3 out of 5,"KSh 1,490",(161 verified ratings),Product Reviews (68)
Fashion 3 Pcs Ladies Handbag Women Bag Crossbody Bag Sling Wallet Shoulder Bag,3.7 out of 5,"KSh 1,190",(225 verified ratings),Product Reviews (83)
Fashion 4 In 1 Women Bags Ladies Handbags Tote Bag Purse,4 out of 5,"KSh 1,099",(137 verified ratings),Product Reviews (59)
Fashion Women's Diamond  Jewelry Pearl Heart Golden Ball Stud Earrings Set - 9 Pairs,4.4 out of 5,KSh 455,(27 verified ratings),Product Reviews (14)
Fashion 3 In 1 Women Bag Ladies Handbag Sling Bag Purse,3.7 out of 5,"KSh 1,199",(103 verified ratings),Product Reviews (44)
Fashion 4 In 1 Women Bag Tote Crossbody Bag Handbag Different Capacity Combination Bag Set Wallet,3.9 out of 5,KSh 799,(109 verified ratings),Product Reviews (46)
Fashion Men Sneakers Men's Fashion Sneakers Sports Casual Fashion Men's Shoes-white,4 out of 5,"KSh 1,121",(377 verified ratings),Product Reviews (137)
Fashion 2 Piece Men's T-Shirt & Shorts Set,3.8 out of 5,"KSh 1,180",(108 verified ratings),Product Reviews (51)
Fashion 2022 Mens Casual Classic Shoes Running Sneakers - White,4.1 out of 5,"KSh 1,699",(84 verified ratings),Product Reviews (38)
Fashion 5 Pcs Mens Cotton T-shirts Short Sleeve Tees,4.2 out of 5,"KSh 2,500",(40 verified ratings),Product Reviews (21)
